"POC Name ","Address ","Postal Code ",Latitude,Longitude
LA CAGE AUX SPORTS,"750, PRINCIPALE RUE, GRANBY, QUEBEC, J2G 2Y4",J2G 2Y4,45.4104427,-72.7470128
GESTION AUTODROME DRUMMOND,"1155 BOUL ST-JOSEPH O, DRUMMONDVILLE, QUEBEC, J2E 1P1",J2E 1P1,45.9098617,-72.54350440000002
LA CAGE AUX SPORTS,"400, ST-JOSEPH BOUL, DRUMMONDVILLE, QUEBEC, J2C 2A8",J2C 2A8,45.8963111,-72.51773850000001
LA CAGE AUX SPORTS,"2655, KING RUE O, SHERBROOKE, QUEBEC, J1L 2G4",J1L 2G4,45.398321,-71.9383808
BRASSERIE FLEURIMONT INC,"1325 12 AVE N, SHERBROOKE, QUEBEC, J1E 3P6",J1E 3P6,45.4251698,-71.87228390000001
BRASSETTE 101 ENR,"36 RUE DES OBLATS N, VILLE-MARIE, QUEBEC, J0Z 3W0",J0Z 3W0,47.337234,-79.437029
BAR LA BANNIK,"862, DU VIEUX-FORT CH, DUHAMEL, QUEBEC, J0Z 3W0",J0Z 3W0,47.294626,-79.45088099999998
RESTO BISTRO DE L'AIGLE,"55 RUE PRINCIPALE, LAC-CAYAMANT, QUEBEC, J0X 1Y0",J0X 1Y0,46.1348846,-76.24671649999999
RESTO BAR LE PIRATE,"1080, 132 RTE, SAINTE-BARBE, QUEBEC, J0S 1P0",J0S 1P0,45.1598062,-74.33094819999997
LA CAGE AUX SPORTS,"75, DE LA GARE RUE, ST-SAUVEUR-DES-MONTS, QUEBEC, J0R 1R6",J0R 1R6,45.8907283,-74.15438849999998
LA FRITERIE DE LA VALLEE DE ST-SAUV,"269 RUE PRINCIPALE, ST-SAUVEUR, QUEBEC, J0R 1R0",J0R 1R0,45.8934367,-74.15841080000001
BAR SALON ALAIN,"255 MONTEE DE LA BAIE, POINTE-CALUMET, QUEBEC, J0N 1G2",J0N 1G2,45.4995178,-73.9714022
BAR LA BARAQUE,"285, PRINCIPALE, ST-ROCH-DE-RICHELIEU, QUEBEC, J0L 2H0",J0L 2H0,45.8898951,-73.15722920000002
L'ARRET DES GOLFEURS ENR,"1889 CH DES PATRIOTES, ST-OURS, QUEBEC, J0G 1P0",J0G 1P0,45.9423796,-73.14579120000002
PUB AMIGO,"213 PRINCIPALE NORD, RICHMOND, QUEBEC, J0B 2H0",J0B 2H0,45.6603123,-72.14294259999997
RESTO DU VIEUX TONNEAU,"645, PRINCIPALE E, COOKSHIRE, QUEBEC, J0B 1M0",J0B 1M0,45.4152022,-71.62114180000003
LA CAGE AUX SPORTS,"6321 AUTOROUTE 40, POINTE-CLAIRE, QUEBEC, H9R 5A5",H9R 5A5,46.2685656,-72.79925939999998
CAPITALES BURGER,"8612 RUE CENTRALE, LASALLE, QUEBEC, H8P1N5",H8P1N5,45.4172149,-73.6199201
CAFE PETE'S BAR,"1701 LAPIERRE, LASALLE, QUEBEC, H8N 2M4",H8N 2M4,45.4367119,-73.61253599999998
LA CAGE AUX SPORTS,"7077, NEWMAN BOUL, LASALLE, QUEBEC, H8N 1X1",H8N 1X1,45.4479126,-73.6127113
TABLE 51,"3035 BOUL LE CARREFOUR, LAVAL, QUEBEC, H7T1C8",H7T1C8,45.570538,-73.75222120000001
LA CAGE AUX SPORTS,"2900, LE CARREFOUR BOUL, LAVAL, QUEBEC, H7T 2K9",H7T 2K9,45.5690331,-73.74622049999999
BRASSERIE LA RESERVE,"6000, ARTHUR-SAUVE BOUL, LAVAL, QUEBEC, H7R3X7",H7R3X7,45.5483759,-73.86565200000001
LA PLACE PUBLIQUE,"443, BOUL ST-MARTIN OUEST, LAVAL, QUEBEC, H7M1Y8",H7M1Y8,45.57749039999999,-73.71187609999998
SALLE DE BILLARDS DES PROS,"5528, DES LAURENTIDES BOUL, LAVAL, QUEBEC, H7K 2K2",H7K 2K2,45.625683,-73.7517249
CHEZ LE PERE GEDEON (ST-LAURENT),"6615 CH DE LA COTE-DE-LIESSE, ST-LAURENT, QUEBEC, H4T 1E5",H4T 1E5,45.48476369999999,-73.69329449999998
LA CAGE AUX SPORTS,"3450 BOUL DE LA COTE-VERTU, ST-LAURENT, QUEBEC, H4R 1P8",H4R 1P8,45.4961017,-73.70535949999999
PEEL PUB,"1196 RUE PEEL, MONTREAL, QUEBEC, H3B 2T6",H3B 2T6,45.4994033,-73.57194249999998
LA CAGE AUX SPORTS,"1212 RUE DE LA GAUCHETIERE O, MONTREAL, QUEBEC, H3B 2S2",H3B 2S2,45.4977501,-73.5686715
LA CAGE AUX SPORTS,"114, RUE ST-PAUL EST, MONTREAL, QUEBEC, H2Y 1G6",H2Y 1G6,45.50679,-73.552638
LE BISTRO SANGUINET,"308 RUE STE-CATHERINE E, MONTREAL, QUEBEC, H2X1L7",H2X1L7,45.5127967,-73.56109909999998
YE OLDE ORCHARD PUB + GRILL,"20 PRINCE ARTHUR W, MONTREAL, QUEBEC, H2X 1S3",H2X 1S3,45.5135218,-73.57270240000003
LA CAGE AUX SPORTS,"4750 SHERBROOKE EST, MONTREAL QUEBEC, H1V 3S8",H1V 3S8,45.5623739,-73.55331760000001
LA CAGE AUX SPORTS,"6419, JEAN-TALON RUE E, ST-LEONARD, QUEBEC, H1S 3E7",H1S 3E7,45.5912984,-73.5757845
LA CAGE AUX SPORTS,"7275, SHERBROOKE LOCAL:2200A, MONTREAL, QUEBEC, H1N 1E9",H1N 1E9,45.5902333,-73.5388979
LA CAGE AUX SPORTS,"10715, PIE-IX BOUL, MONTREAL-NORD, QUEBEC, H1H 4A8",H1H 4A8,45.5896901,-73.6354182
LA CAGE AUX SPORTS,"4210, DES FORGES BOUL, TROIS-RIVIERES, QUEBEC, G8Y 1W3",G8Y 1W3,46.357472,-72.58718390000001
LA CAGE AUX SPORTS,"930 AVE DU PONT S, ALMA, QUEBEC, G8B 2V8",G8B 2V8,48.5370538,-71.6473082
BAR LE JEANNOIS,"615 SACRE-COEUR OUEST, ALMA, QUEBEC, G8B 1M4",G8B 1M4,48.5503887,-71.6505565
BAR DOOLY'S ALMA,"645 RUE SACRE-COEUR O, ALMA, QUEBEC, G8B 1A9",G8B 1A9,48.5422436,-71.6302139
FOLIE BOUFFE,"1915 BOUL TALBOT, CHICOUTIMI, QUEBEC, G7H 7Y4",G7H 7Y4,48.3943631,-71.06903390000002
REST. BISTROT LE PIER-ALE,"1401, TALBOT BOUL, CHICOUTIMI, QUEBEC, G7H 5N6",G7H 5N6,48.4048406,-71.0553428
LA CAGE AUX SPORTS,"1611, TALBOT BOUL C.P.35, CHICOUTIMI, QUEBEC, G7H 5B5",G7H 5B5,48.3995557,-71.06207949999998
REST0 PUB GEORGES,"433, RACINE EST, CHICOUTIMI, QUEBEC, G7H 1T5",G7H 1T5,48.4285687,-71.05493360000003
LA CAGE AUX SPORTS,"1550 BOUL. ALPHONSE DESJARDINS, S15, LEVIS, QUEBEC, G6V 0G8",G6V 0G8,46.7927529,-71.1637283
LA CAGE AUX SPORTS,"1050 BOUL JUTRAS E, VICTORIAVILLE, QUEBEC, G6S 1E4",G6S 1E4,46.0629824,-71.9300518
AU POINT PLUS REST. BAR INC,"192, DES BOIS-FRANCS BOUL S, VICTORIAVILLE, QUEBEC, G6P 4S7",G6P 4S7,46.0561584,-71.94576359999996
LA CAGE AUX SPORTS,"805 BOUL FRONTENAC E, THETFORD-MINES, QUEBEC, G6G 6L5",G6G 6L5,46.1127911,-71.30139450000001
GOLF DE BEAUCE,"1425 RANG ST-ETIENNE NORD C.P. 306, SAINTE-MARIE DE BEAUCE, QUEBEC, G6E 3B6",G6E 3B6,46.438606,-71.02197439999998
RESTAURANT BARIL GRILL,"1390 AVN 6, ST-GEORGES, QUEBEC, G5Y 5B7",G5Y 5B7,46.1169881,-70.67972270000001
RESTAURANT LE BEC FIN (BEAUCE),"584 AVN 6E, ST-GEORGES, QUEBEC, G5Y 3T7",G5Y 3T7,46.1192217,-70.68799200000001
LA CAGE AUX SPORTS,"455 90 RUE, ST-GEORGES, QUEBEC, G5Y 3L1",G5Y 3L1,46.131688,-70.69461849999999
BAR SYSTEME,"11740 AVN 1E, ST-GEORGES, QUEBEC, G5Y 2C8",G5Y 2C8,46.1227373,-70.67930189999998
LE GRAND HOTEL,"11750 1 AVENUE, ST-GEORGES, QUEBEC, G5Y 2C8",G5Y 2C8,46.1227373,-70.67930189999998
REST. CHEZ GERARD INC.,"16280, LACROIX BOUL, ST-GEORGES, QUEBEC, G5Y 1S4",G5Y 1S4,46.0997223,-70.65330829999999
RESTO BAR LA CACHETTE,"721 RTE DU GOLF, BEAUCEVILLE-OUEST, QUEBEC, G5X 2T8",G5X 2T8,46.2441779,-70.78971590000003
SALLE DE QUILLES DA LOT INC.,"638 - H, BOUL RENAULT, BEAUCEVILLE-EST, QUEBEC, G5X 1M6",G5X 1M6,46.2068238,-70.7737674
LA CAGE AUX SPORTS,"298, ARMAND-THERIAULT BOUL, RIVIERE-DU-LOUP, QUEBEC, G5R 4C3",G5R 4C3,47.82459249999999,-69.54825160000001
SUPER BAR,"414, LAFONTAINE RUE, RIVIERE-DU-LOUP, QUEBEC, G5R 3B7",G5R 3B7,47.8301785,-69.5344427
LA CAGE AUX SPORTS,"360 MONTEE INDUSTRIELLE, RIMOUSKI, QUEBEC, G5M 1X1",G5M 1X1,48.4565431,-68.4958234
LA CAGE AUX SPORTS,"130, AVE BELZILE, RIMOUSKI, QUEBEC, G5L 3E4",G5L 3E4,48.4544662,-68.52346649999998
LA CAGE AUX SPORTS,"395, ARNAUD AV, SEPT-ILES, QUEBEC, G4R 3A8",G4R 3A8,50.2037842,-66.38572999999997
LA CAGE AUX SPORTS,"5540 BOUL DES GRADINS, QUEBEC, G2J 1A1",G2J 1A1,46.8412589,-71.2729261
LA CAGE AUX SPORTS,"6476, WILFRID-HAMEL BOUL, L'ANCIENNE-LORETTE, QUEBEC, G2E 2J1",G2E 2J1,46.7909031,-71.3533908
REST LE CROQUE-DELICE INC,"2244, BASTIEN BOUL, QUEBEC, G2B 1B6",G2B 1B6,46.8582963,-71.33759429999998
SHACK CAFE RESTO BAR,"1081 RTE DE L'EGLISE, SAINTE-FOY, QUEBEC, G1V3W2",G1V3W2,46.7707549,-71.29394930000001
LA CAGE AUX SPORTS,"2700 BL LAURIER, STE-FOY, QUEBEC, G1V 4J9",G1V 4J9,46.7703932,-71.28617910000003
SHAKER CUISINE & MIXOLOGIE QUEBEC,"2360 CHEMIN STE-FOY LOCAL G-014, STE-FOY, QUEBEC, G1V 4H2",G1V 4H2,46.7867593,-71.28229859999999
PUB TURF(REST-BAR LE MERLIN),"1179, CARTIER AV, QUEBEC, G1R2S9",G1R2S9,46.8029902,-71.22467180000001
RIDEAU ROUGE,"1147 AVE CARTIER, QUEBEC, G1R2S6",G1R2S6,46.8031652,-71.22524679999998
